field_id	documents	values	value_status
F.106	424	424	parse_error=11;reported=413
F.107	445	445	parse_error=3;reported=442
F.108	448	448	not_applicable=1;parse_error=3;reported=444
F.109	436	436	parse_error=7;reported=429
F.110	310	310	not_applicable=3;parse_error=6;reported=301
F.111	311	311	not_applicable=1;parse_error=5;reported=305
F.112	373	373	parse_error=7;reported=366
F.113	429	429	parse_error=8;reported=421
F.114	426	426	parse_error=10;reported=416
F.115	443	443	parse_error=2;reported=441
F.116	445	445	parse_error=1;reported=444
F.201	443	443	reported=443
F.202	460	460	reported=460
F.203	435	435	reported=435
F.204	460	460	reported=460
F.205	465	465	reported=465
F.206	438	438	reported=438
F.207	423	423	reported=423
F.208	435	435	reported=435
F.209	250	250	reported=250
F.210	342	342	reported=342
F.211	454	454	reported=454
F.212	376	376	reported=376
F.213	244	244	reported=244
F.214	373	373	reported=373
F.215	414	414	reported=414
F.216	475	475	reported=475
F.217	455	455	reported=455
F.218	360	360	reported=360
F.219	374	374	reported=374
F.220	272	272	reported=272
F.221	253	253	reported=253
F.301	55	55	reported=55
F.302	31	31	reported=31
F.303	37	37	reported=37
F.304	16	16	reported=16
F.305	19	19	reported=19
F.306	47	47	reported=47
F.307	33	33	reported=33
F.308	11	11	reported=11
F.309	17	17	reported=17
F.310	32	32	reported=32
F.401	291	291	reported=291
F.402	89	89	reported=89
F.403	118	118	reported=118
F.404	147	147	reported=147
F.405	323	323	reported=323
F.406	262	262	reported=262
F.407	141	141	reported=141
F.408	167	167	reported=167
F.409	63	63	reported=63
F.410	247	247	reported=247
F.411	102	102	reported=102
F.412	232	232	reported=232
F.413	50	50	not_applicable=1;reported=49
F.414	20	20	reported=20
G.001	345	345	parse_error=13;reported=332
G.002	129	129	reported=129
G.003	48	48	reported=48
G.101	227	227	not_applicable=1;reported=226
G.102	227	227	not_applicable=2;reported=225
G.103	139	139	not_applicable=2;reported=137
G.104	138	138	not_applicable=1;reported=137
G.105	143	143	not_applicable=1;reported=142
G.106	115	115	not_applicable=1;reported=114
G.107	142	142	not_applicable=2;reported=140
G.108	140	140	not_applicable=1;reported=139
G.109	148	148	not_applicable=1;reported=147
G.110	120	120	not_applicable=1;reported=119
G.111	370	370	reported=370
G.112	315	315	reported=315
G.113	293	293	not_applicable=20;reported=273
G.114	296	296	not_applicable=21;reported=275
G.115	376	376	reported=376
G.116	306	306	reported=306
G.117	278	278	reported=278
G.118	282	282	reported=282
G.119	16	16	not_applicable=3;reported=13
G.120	28	28	reported=28
G.201	249	249	parse_error=8;reported=241
G.202	85	85	parse_error=5;reported=80
G.301	194	194	parse_error=3;reported=191
G.401	203	203	parse_error=2;reported=201
